feature,importance
treatment_action,52.08535354730955
error_reason,10.603626363282853
customer_segment,6.576080206661068
opt_out_notification,5.932374503993601
recovery_attempt_count,5.138339768386122
notification_sent,4.27168982531882
risk_score,3.278100139701485
previous_failed_attempts,3.2444971399788862
hour_of_day,2.349019381998226
amount,2.2741995041956224
amount_bucket,1.143474804109981
time_since_last_failure_hr,1.0542740150323087
customer_tenure_months,0.2686519153451191
card_type,0.243855796934495
payment_method,0.20337058916863537
transaction_frequency_30d,0.20217012723658095
account_balance,0.18798506259904785
customer_age,0.15147144902432536
device_type,0.14943008289108237
region,0.14661916023530183
channel,0.13541378235831955
retry_count,0.11422399652800806
bank,0.09211292641726859
day_of_week,0.08414473167843352
merchant_category,0.06104988497820357
is_weekend,0.008471294636727515
